| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
| 75 | 2017-10-04 | 2017-10-11 |  WDC  |      84.350|      75.915|       0.000|      85.539|  Yes   |   2,866.242|   Long   | 0.081|
| 76 | 2017-10-09 | 2017-10-17 | WYNN  |     143.370|     129.033|       0.000|     146.314|  Yes   |   2,921.184|   Long   | 0.086|
| 77 | 2017-10-11 | 2017-10-23 | PCAR  |      48.570|      43.713|       0.000|      49.749|  Yes   |   2,990.945|   Long   | 0.021|
| 78 | 2017-10-13 | 2017-11-02 | GPRO  |       9.560|       8.604|       0.000|       9.568|  Yes   |   2,991.813|   Long   | 0.012|
| 79 | 2017-10-17 | 2017-10-23 | FITB  |      27.970|      25.173|       0.000|      28.422|  Yes   |   3,038.753|   Long   | 0.008|
| 80 | 2017-10-19 | 2017-10-30 | GOOG  |      49.220|      44.298|       0.000|      50.856|  Yes   |   3,137.574|   Long   | 0.004|
| 81 | 2017-10-23 | 2017-10-25 |  ADI  |      88.770|      79.893|       0.000|      89.804|  Yes   |   3,172.758|   Long   | 0.056|
| 82 | 2017-10-25 | 2017-12-05 |  CSX  |      17.640|      15.876|       0.000|      18.593|  Yes   |   3,342.340|   Long   | 0.007|
| 83 | 2017-10-30 | 2017-11-01 | TSLA  |      21.340|      19.206|       0.000|      21.406|  Yes   |   3,351.601|   Long   | 0.004|
| 84 | 2017-11-03 | 2017-11-27 | MNKD  |       3.260|       2.934|       0.000|       2.931|   No   |   3,008.163|   Long   | 0.003|
| 85 | 2017-11-06 | 2017-11-09 | TTWO  |     107.000|      96.300|       0.000|     115.026|  Yes   |   3,231.892|   Long   | 0.134|
| 86 | 2017-11-10 | 2017-11-22 | TTEK  |       9.700|       8.730|       0.000|       9.928|  Yes   |   3,306.087|   Long   | 0.002|
| 87 | 2017-11-14 | 2017-12-13 | MSFT  |      84.050|      75.645|       0.000|      85.322|  Yes   |   3,354.684|   Long   | 0.028|
| 88 | 2017-11-16 | 2017-11-29 | MSFT  |      83.200|      74.880|       0.000|      83.330|  Yes   |   3,358.868|   Long   | 0.010|
| 89 | 2017-11-20 | 2017-11-28 | GOOG  |      50.920|      45.828|       0.000|      52.368|  Yes   |   3,451.987|   Long   | 0.002|
| 90 | 2017-11-24 | 2017-12-21 | INTC  |      44.750|      40.275|       0.000|      46.747|  Yes   |   3,604.791|   Long   | 0.013|
| 91 | 2017-11-27 | 2017-12-01 |  XEL  |      50.860|      45.774|       0.000|      51.336|  Yes   |   3,637.116|   Long   | 0.024|
| 92 | 2017-11-30 | 2017-12-21 | NFLX  |     187.580|     168.822|       0.000|     188.527|  Yes   |   3,654.114|   Long   | 0.093|
| 93 | 2017-12-04 | 2017-12-21 | INTC  |      44.490|      40.041|       0.000|      46.754|  Yes   |   3,838.756|   Long   | 0.006|
| 94 | 2017-12-06 | 2017-12-08 | ADBE  |     173.520|     156.168|       0.000|     173.513|   No   |   3,837.603|   Long   | 0.057|
| 95 | 2017-12-11 | 2017-12-19 | MNKD  |       3.040|       2.736|       0.000|       2.732|   No   |   3,441.988|   Long   | 0.004|
| 96 | 2017-12-15 | 2017-12-21 |  CSX  |      17.640|      15.876|       0.000|      18.283|  Yes   |   3,566.387|   Long   | 0.007|
| 97 | 2017-12-18 | 2018-01-11 | SIRI  |      54.300|      48.870|       0.000|      54.939|  Yes   |   3,606.890|   Long   | 0.061|
| 98 | 2017-12-22 | 2017-12-29 |  MCD  |     171.420|     154.278|       0.000|     172.047|  Yes   |   3,619.054|   Long   | 0.073|
| 99 | 2017-12-25 | 2018-02-05 |  BGC  |       9.760|       8.784|       0.000|       8.777|   No   |   3,253.634|   Long   | 0.007|
|100 | 2017-12-28 | 2018-01-04 | PYPL  |      74.170|      66.753|       0.000|      76.697|  Yes   |   3,361.287|   Long   | 0.033|
|101 | 2018-01-01 | 2018-01-23 |  PPC  |      30.180|      27.162|       0.000|      30.959|  Yes   |   3,446.810|   Long   | 0.011|
|102 | 2018-01-03 | 2018-01-17 | OMER  |      19.760|      17.784|       0.000|      17.745|   No   |   3,095.222|   Long   | 0.039|
|103 | 2018-01-08 | 2018-01-15 | CENX  |      19.710|      17.739|       0.000|      21.119|  Yes   |   3,315.416|   Long   | 0.031|
